Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Close
BTC,3/23/2021,54329.35863,57389.21162,58407.61921,53795.15409,5.432935863
BTC,3/24/2021,54794.29771,54143.10604,55858.36925,53031.32679,5.479429771
BTC,3/25/2021,52787.74553,54375.80763,57225.29881,51777.97109,5.278774553
BTC,3/26/2021,52173.86798,52335.56503,53209.40638,50458.09997,5.217386798
BTC,3/27/2021,54483.04573,51344.04898,54806.88151,51286.29118,5.448304573
BTC,3/28/2021,56234.35611,55067.8244,56520.30729,54022.07694,5.623435611
BTC,3/29/2021,55343.92582,55843.74892,56541.00653,54741.62637,5.534392582
BTC,3/30/2021,57627.67925,55786.54607,58353.52939,54929.68059,5.762767925
BTC,3/31/2021,58734.47543,57613.16126,59379.99216,57069.22927,5.873447543
BTC,4/1/2021,58724.66452,58810.15589,59835.39233,56934.31212,5.872466452
BTC,4/2/2021,58984.61293,58764.43309,59458.98456,57973.3521,5.898461293
BTC,4/3/2021,58821.62699,58726.08457,60101.75233,58478.59835,5.882162699
BTC,4/4/2021,57517.79877,58958.42898,59713.21014,57185.76801,5.751779877
BTC,4/5/2021,58177.40276,57134.86005,58540.98471,56552.22227,5.817740276
BTC,4/6/2021,58843.55954,58230.67554,59243.03618,56846.96905,5.884355954
BTC,4/7/2021,58040.1876,59133.65574,59484.19947,57421.85309,5.80401876
BTC,4/8/2021,56508.94286,58030.62185,58645.77297,55541.90613,5.650894286
BTC,4/9/2021,57880.90568,55996.08036,58179.65686,55758.49118,5.788090568
BTC,4/10/2021,58171.90902,58094.74413,58880.82161,57717.85978,5.817190902
BTC,4/11/2021,59295.95004,58149.65059,61065.22262,57924.07526,5.929595004
BTC,4/12/2021,59822.90168,59765.10382,60588.47197,59229.86011,5.982290168
BTC,4/13/2021,59853.19724,59998.15991,61219.71861,59428.21475,5.985319724
BTC,4/14/2021,63223.88439,59841.56137,63707.34236,59799.44058,6.322388439
BTC,4/15/2021,62926.55718,63562.67354,64801.78787,61400.28397,6.292655718
BTC,4/16/2021,63346.78904,62987.27018,63850.25073,62094.63291,6.334678904
BTC,4/17/2021,61965.7826,63225.09392,63520.32537,60033.53467,6.19657826
BTC,4/18/2021,60574.44473,61444.2325,62534.0285,59802.88927,6.057444473
