datetime_eth,closingPrice,ARIMA,Error,datetime_eth,Error_pred,ARIMA_LSTM
2021-02-22,0.19138,0.08278464999999369,0.10859535000000631,2021-02-22,0.09073232,0.17351697114314402
2021-02-23,0.178215,0.08293896037735206,0.09527603962264795,2021-02-23,0.079403535,0.16234249490894537
2021-02-24,0.154662,0.08309327075471043,0.07156872924528956,2021-02-24,0.072097346,0.1551906169413483
2021-02-25,0.15892699999999998,0.0832475811320688,0.07567941886793118,2021-02-25,0.06788231,0.15112988800586719
2021-02-26,0.152418,0.08340189150942717,0.06901610849057283,2021-02-26,0.06443853,0.1478404208220378
2021-02-27,0.143572,0.08355620188678554,0.06001579811321446,2021-02-27,0.06167906,0.14523526338900378
2021-02-28,0.149581,0.08371051226414392,0.06587048773585608,2021-02-28,0.06455717,0.14826768462217996
2021-03-01,0.141271,0.08386482264150229,0.05740617735849772,2021-03-01,0.0650201,0.148884921923767
2021-03-02,0.155584,0.08401913301886066,0.07156486698113934,2021-03-02,0.06983562,0.15385475115717395
2021-03-03,0.148391,0.08417344339621903,0.06421755660378096,2021-03-03,0.06961045,0.15378389008773208
2021-03-04,0.159388,0.0843277537735774,0.0750602462264226,2021-03-04,0.07050429,0.15483204661930342
2021-03-05,0.152857,0.08448206415093577,0.06837493584906422,2021-03-05,0.07328516,0.15776722659981884
2021-03-06,0.154357,0.08463637452829414,0.06972062547170585,2021-03-06,0.07883347,0.16346984278667503
2021-03-07,0.165881,0.08479068490565252,0.08109031509434748,2021-03-07,0.086548105,0.1713387897878928
2021-03-08,0.168199,0.08494499528301089,0.0832540047169891,2021-03-08,0.09293736,0.1778823530067238
2021-03-09,0.178249,0.08509930566036926,0.09314969433963073,2021-03-09,0.09745186,0.18255116388285386
2021-03-10,0.18346700000000002,0.08525361603772763,0.09821338396227239,2021-03-10,0.09827555,0.18352916574752454
2021-03-11,0.18293900000000002,0.085407926415086,0.09753107358491402,2021-03-11,0.0953854,0.18079332885611077
2021-03-12,0.182223,0.08556223679244437,0.09666076320755562,2021-03-12,0.09816494,0.18372717518269935
2021-03-13,0.176223,0.08571654716980275,0.09050645283019725,2021-03-13,0.101008154,0.18672470162164984
2021-03-14,0.19059500000000001,0.08587085754716112,0.1047241424528389,2021-03-14,0.10040272,0.18627357781970216
2021-03-15,0.188076,0.08602516792451949,0.1020508320754805,2021-03-15,0.0962638,0.18228897146617978
2021-03-16,0.178984,0.08617947830187786,0.09280452169812214,2021-03-16,0.09454786,0.18072733862626064
2021-03-17,0.179782,0.08633378867923623,0.09344821132076377,2021-03-17,0.09435002,0.1806838062864483
2021-03-18,0.181574,0.0864880990565946,0.09508590094340541,2021-03-18,0.09480937,0.18129746730934881
2021-03-19,0.179053,0.08664240943395297,0.09241059056604702,2021-03-19,0.095619656,0.18226206557952562
2021-03-20,0.181956,0.08679671981131135,0.09515928018868866,2021-03-20,0.095497355,0.1822940746763855
2021-03-21,0.183375,0.08695103018866972,0.09642396981133029,2021-03-21,0.09001369,0.17696472048150497
2021-03-22,0.17988900000000002,0.08710534056602809,0.09278365943397193,2021-03-22,0.084172376,0.17127771606623027
2021-03-23,0.168446,0.08725965094338646,0.08118634905661355,2021-03-23,0.07743393,0.16469357979069937
2021-03-24,0.16774,0.08741396132074483,0.08032603867925517,2021-03-24,0.07402082,0.16143477919660695
2021-03-25,0.159223,0.0875682716981032,0.0716547283018968,2021-03-25,0.0748187,0.1623869722500899
2021-03-26,0.159826,0.08772258207546157,0.07210341792453842,2021-03-26,0.07955428,0.16727686420427246
2021-03-27,0.168191,0.08787689245281995,0.08031410754718006,2021-03-27,0.08156048,0.1694373700672227
2021-03-28,0.172247,0.08803120283017832,0.0842157971698217,2021-03-28,0.08572206,0.17375326184163767
2021-03-29,0.16763599999999998,0.08818551320753669,0.07945048679246329,2021-03-29,0.09067818,0.1788636909814892
2021-03-30,0.18090699999999998,0.08833982358489506,0.09256717641510492,2021-03-30,0.098286524,0.18662634799991124
2021-03-31,0.184176,0.08849413396225343,0.09568186603774657,2021-03-31,0.103991054,0.19248518796072372
2021-04-01,0.191385,0.0886484443396118,0.1027365556603882,2021-04-01,0.113050126,0.20169856987891463
2021-04-02,0.19681700000000002,0.08880275471697018,0.10801424528302984,2021-04-02,0.11702705,0.20582980646381543
