Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price
BTC,2020-06-28,9022.153768,9171.554012,9192.768265,8843.317702,0.902215377
BTC,2020-06-29,9101.850057,9022.012126,9190.117478,8949.755974,0.910185006
BTC,2020-06-30,9188.061375,9101.877703,9233.529361,9032.435483,0.918806138
BTC,2020-07-01,9148.444859,9188.037401,9201.648794,9067.19084,0.914844486
BTC,2020-07-02,9236.31677,9141.34826,9300.998983,9096.778646,0.923631677
BTC,2020-07-03,9097.797366,9240.169628,9267.123022,8957.632801,0.909779737
BTC,2020-07-04,9094.324561,9097.683628,9132.985825,9065.858012,0.909432456
BTC,2020-07-05,9124.653534,9067.937487,9190.818987,9051.870726,0.912465353
BTC,2020-07-06,9055.464483,9141.07507,9149.765584,8919.762981,0.905546448
BTC,2020-07-07,9278.805637,9078.614127,9356.327421,9063.727627,0.927880564
BTC,2020-07-08,9244.415815,9344.987626,9374.083533,9216.518048,0.924441581
BTC,2020-07-09,9471.759973,9262.805251,9472.080067,9239.543297,0.947175997
BTC,2020-07-10,9236.143254,9444.728112,9449.911243,9173.165154,0.923614325
BTC,2020-07-11,9243.175259,9239.473351,9260.349785,9133.962338,0.924317526
BTC,2020-07-12,9229.859755,9289.580029,9304.962551,9190.032623,0.922985975
BTC,2020-07-13,9286.737042,9243.766253,9349.001062,9170.73536,0.928673704
BTC,2020-07-14,9238.993755,9310.395069,9339.806986,9206.291978,0.923899375
BTC,2020-07-15,9260.47098,9241.763724,9279.093222,9125.214524,0.926047098
BTC,2020-07-16,9211.026433,9261.511425,9275.45244,9167.649721,0.921102643
BTC,2020-07-17,9133.77783,9192.623666,9219.426492,9048.084922,0.913377783
BTC,2020-07-18,9160.410591,9132.454747,9186.96179,9085.977619,0.916041059
BTC,2020-07-19,9176.68639,9159.369281,9212.520944,9130.022301,0.917668639
BTC,2020-07-20,9190.271534,9182.914419,9197.726524,9117.058699,0.919027153
BTC,2020-07-21,9172.588333,9213.358566,9223.07652,9152.280649,0.917258833
BTC,2020-07-22,9395.064446,9166.298231,9445.579319,9159.972579,0.939506445
BTC,2020-07-23,9530.790885,9399.730238,9551.996412,9313.812944,0.953079089
BTC,2020-07-24,9617.377861,9534.116269,9681.909452,9452.744476,0.961737786
BTC,2020-07-25,9568.974726,9617.389459,9646.957118,9479.577351,0.956897473
BTC,2020-07-26,9708.94914,9557.065314,9746.556096,9546.032528,0.970894914
BTC,2020-07-27,9938.951223,9714.685123,10135.88216,9670.416834,0.993895122
BTC,2020-07-28,11187.77973,9940.111573,11394.84875,9930.83996,1.118777973
BTC,2020-07-29,10939.67014,11040.79047,11254.55134,10580.1286,1.093967014
BTC,2020-07-30,11284.45899,10930.45278,11318.0871,10852.88097,1.128445899
BTC,2020-07-31,11118.91841,11118.88858,11180.43064,10847.20085,1.111891841
BTC,2020-08-01,11373.31726,11112.42116,11467.95059,10980.82391,1.137331726
BTC,2020-08-02,11766.7483,11352.71504,11880.77364,11241.97677,1.17667483
BTC,2020-08-03,11139.09838,11820.51291,12117.67708,10658.94608,1.113909838
BTC,2020-08-04,11261.80633,11071.26711,11480.28338,10956.56291,1.126180633
BTC,2020-08-05,11228.02632,11237.22451,11400.06419,11045.96842,1.122802632
BTC,2020-08-06,11653.40759,11196.28746,11791.10323,11107.1352,1.165340759
BTC,2020-08-07,11796.81736,11756.89486,11917.76504,11581.57513,1.179681736
BTC,2020-08-08,11639.93541,11780.04401,11917.85915,11347.41279,1.163993541
BTC,2020-08-09,11744.91208,11610.9087,11814.95666,11543.3477,1.174491208
BTC,2020-08-10,11673.12324,11770.45097,11802.66293,11536.75286,1.167312324
