Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing Price
BTC,6/2/2020,10268.58198,9427.232535,10357.78917,9417.354212,10.26858198
BTC,6/3/2020,9516.135443,10268.23188,10292.7031,9298.92095,9.516135443
BTC,6/4/2020,9667.060754,9516.379828,9680.206444,9406.971187,9.667060754
BTC,6/5/2020,9811.367095,9667.085402,9875.662127,9472.251048,9.811367095
BTC,6/6/2020,9659.661298,9811.829378,9860.231447,9619.617459,9.659661298
BTC,6/7/2020,9677.050995,9659.053118,9736.271128,9542.773398,9.677050995
BTC,6/8/2020,9737.458559,9677.050684,9804.446487,9392.842926,9.737458559
BTC,6/9/2020,9791.9279,9737.457447,9803.573516,9652.310114,9.7919279
BTC,6/10/2020,9786.14202,9790.073884,9870.519387,9610.024354,9.78614202
BTC,6/11/2020,9874.967048,9787.914131,9979.715526,9711.85958,9.874967048
BTC,6/12/2020,9260.832641,9875.014214,9962.180331,9108.473046,9.260832641
BTC,6/13/2020,9464.228097,9261.481444,9558.770602,9238.389181,9.464228097
BTC,6/14/2020,9458.659754,9464.086079,9492.899884,9359.847047,9.458659754
BTC,6/15/2020,9351.953728,9458.659753,9481.697453,9250.032408,9.351953728
BTC,6/16/2020,9441.768996,9351.605477,9498.609999,8910.198265,9.441768996
BTC,6/17/2020,9510.660637,9442.016988,9595.222935,9380.74608,9.510660637
BTC,6/18/2020,9457.627074,9510.641266,9557.46842,9240.646056,9.457627074
BTC,6/19/2020,9398.642094,9457.464837,9480.374487,9276.427094,9.398642094
BTC,6/20/2020,9279.760765,9398.685603,9427.177661,9236.657272,9.279760765
BTC,6/21/2020,9353.078196,9278.469146,9391.025094,9178.382279,9.353078196
BTC,6/22/2020,9289.104491,9353.078187,9412.648505,9278.923226,9.289104491
BTC,6/23/2020,9680.947128,9288.60316,9775.102839,9272.796157,9.680947128
BTC,6/24/2020,9609.680246,9680.947129,9720.765241,9576.910848,9.609680246
BTC,6/25/2020,9311.136318,9609.680246,9678.98608,9206.958895,9.311136318
BTC,6/26/2020,9252.633372,9310.989646,9333.346057,9002.374468,9.252633372
BTC,6/27/2020,9171.732086,9252.684713,9292.245367,9046.231365,9.171732086
BTC,6/28/2020,9022.153768,9171.554012,9192.768265,8843.317702,9.022153768
BTC,6/29/2020,9101.850057,9022.012126,9190.117478,8949.755974,9.101850057
BTC,6/30/2020,9188.061375,9101.877703,9233.529361,9032.435483,9.188061375
BTC,7/1/2020,9148.444859,9188.037401,9201.648794,9067.19084,9.148444859
BTC,7/2/2020,9236.31677,9141.34826,9300.998983,9096.778646,9.23631677
BTC,7/3/2020,9097.797366,9240.169628,9267.123022,8957.632801,9.097797366
BTC,7/4/2020,9094.324561,9097.683628,9132.985825,9065.858012,9.094324561
BTC,7/5/2020,9124.653534,9067.937487,9190.818987,9051.870726,9.124653534
BTC,7/6/2020,9055.464483,9141.07507,9149.765584,8919.762981,9.055464483
BTC,7/7/2020,9278.805637,9078.614127,9356.327421,9063.727627,9.278805637
BTC,7/8/2020,9244.415815,9344.987626,9374.083533,9216.518048,9.244415815
BTC,7/9/2020,9471.759973,9262.805251,9472.080067,9239.543297,9.471759973
BTC,7/10/2020,9236.143254,9444.728112,9449.911243,9173.165154,9.236143254
BTC,7/11/2020,9243.175259,9239.473351,9260.349785,9133.962338,9.243175259
BTC,7/12/2020,9229.859755,9289.580029,9304.962551,9190.032623,9.229859755
BTC,7/13/2020,9286.737042,9243.766253,9349.001062,9170.73536,9.286737042
BTC,7/14/2020,9238.993755,9310.395069,9339.806986,9206.291978,9.238993755
BTC,7/15/2020,9260.47098,9241.763724,9279.093222,9125.214524,9.26047098
BTC,7/16/2020,9211.026433,9261.511425,9275.45244,9167.649721,9.211026433
BTC,7/17/2020,9133.77783,9192.623666,9219.426492,9048.084922,9.13377783
BTC,7/18/2020,9160.410591,9132.454747,9186.96179,9085.977619,9.160410591
BTC,7/19/2020,9176.68639,9159.369281,9212.520944,9130.022301,9.17668639
BTC,7/20/2020,9190.271534,9182.914419,9197.726524,9117.058699,9.190271534
BTC,7/21/2020,9172.588333,9213.358566,9223.07652,9152.280649,9.172588333
BTC,7/22/2020,9395.064446,9166.298231,9445.579319,9159.972579,9.395064446
BTC,7/23/2020,9530.790885,9399.730238,9551.996412,9313.812944,9.530790885
BTC,7/24/2020,9617.377861,9534.116269,9681.909452,9452.744476,9.617377861
BTC,7/25/2020,9568.974726,9617.389459,9646.957118,9479.577351,9.568974726
BTC,7/26/2020,9708.94914,9557.065314,9746.556096,9546.032528,9.70894914
BTC,7/27/2020,9938.951223,9714.685123,10135.88216,9670.416834,9.938951223
BTC,7/28/2020,11187.77973,9940.111573,11394.84875,9930.83996,11.18777973
BTC,7/29/2020,10939.67014,11040.79047,11254.55134,10580.1286,10.93967014
BTC,7/30/2020,11284.45899,10930.45278,11318.0871,10852.88097,11.28445899
BTC,7/31/2020,11118.91841,11118.88858,11180.43064,10847.20085,11.11891841
BTC,8/1/2020,11373.31726,11112.42116,11467.95059,10980.82391,11.37331726
BTC,8/2/2020,11766.7483,11352.71504,11880.77364,11241.97677,11.7667483
BTC,8/3/2020,11139.09838,11820.51291,12117.67708,10658.94608,11.13909838
BTC,8/4/2020,11261.80633,11071.26711,11480.28338,10956.56291,11.26180633
BTC,8/5/2020,11228.02632,11237.22451,11400.06419,11045.96842,11.22802632
BTC,8/6/2020,11653.40759,11196.28746,11791.10323,11107.1352,11.65340759
BTC,8/7/2020,11796.81736,11756.89486,11917.76504,11581.57513,11.79681736
BTC,8/8/2020,11639.93541,11780.04401,11917.85915,11347.41279,11.63993541
BTC,8/9/2020,11744.91208,11610.9087,11814.95666,11543.3477,11.74491208
BTC,8/10/2020,11673.12324,11770.45097,11802.66293,11536.75286,11.67312324
BTC,8/11/2020,11832.22731,11693.17945,12070.44182,11546.95776,11.83222731
BTC,8/12/2020,11340.58234,11903.3335,11941.6518,11137.81368,11.34058234
BTC,8/13/2020,11549.54631,11399.06848,11626.23784,11166.54478,11.54954631
BTC,8/14/2020,11752.16866,11571.10263,11795.43575,11287.64679,11.75216866
BTC,8/15/2020,11783.28341,11789.95953,11867.28291,11663.41146,11.78328341
BTC,8/16/2020,11895.62695,11782.78559,11987.65155,11714.58902,11.89562695
BTC,8/17/2020,11896.94717,11862.38742,11938.8761,11705.49261,11.89694717
BTC,8/18/2020,12399.11188,11916.58022,12476.69704,11778.30371,12.39911188
BTC,8/19/2020,12071.73891,12299.81621,12391.84071,11840.39237,12.07173891
BTC,8/20/2020,11749.82951,11959.02939,12029.75799,11589.5762,11.74982951
BTC,8/21/2020,11833.89735,11766.18313,11899.96341,11690.15508,11.83389735
BTC,8/22/2020,11583.13894,11866.28401,11890.03166,11525.26123,11.58313894
BTC,8/23/2020,11674.62435,11539.71729,11694.47049,11393.21033,11.67462435
BTC,8/24/2020,11666.41012,11677.05824,11726.23458,11539.08981,11.66641012
BTC,8/25/2020,11744.0127,11660.39682,11835.35928,11601.74066,11.7440127
BTC,8/26/2020,11378.72603,11759.3614,11771.3353,11133.16876,11.37872603
BTC,8/27/2020,11458.8226,11334.03573,11546.20239,11265.22814,11.4588226
BTC,8/28/2020,11302.12096,11467.29065,11594.64626,11157.08574,11.30212096
BTC,8/29/2020,11482.22569,11339.74802,11553.53918,11294.18591,11.48222569
BTC,8/30/2020,11515.04443,11540.72864,11586.30657,11435.40076,11.51504443
BTC,8/31/2020,11657.00393,11483.12875,11694.6708,11476.07202,11.65700393
BTC,9/1/2020,11678.37326,11712.97262,11799.52944,11579.88329,11.67837326
BTC,9/2/2020,11964.20867,11661.42734,12070.22741,11544.42003,11.96420867
BTC,9/3/2020,11427.7026,11923.19964,11954.16268,11217.45383,11.4277026
BTC,9/4/2020,10712.92065,11409.72633,11470.80702,10505.14681,10.71292065
BTC,9/5/2020,10563.89694,10177.72164,10644.24117,10118.71861,10.56389694
BTC,9/6/2020,10042.85485,10470.02669,10574.30731,9894.2254,10.04285485
BTC,9/7/2020,10207.605,10174.86343,10355.65249,10014.27766,10.207605
BTC,9/8/2020,10381.77611,10265.74299,10383.11924,9891.734243,10.38177611
BTC,9/9/2020,10043.19644,10381.67682,10444.17113,9868.937984,10.04319644
BTC,9/10/2020,10268.46092,10136.56084,10352.41519,9989.510556,10.26846092
BTC,9/11/2020,10341.01598,10230.63553,10483.56121,10224.03739,10.34101598
BTC,9/12/2020,10380.5396,10347.66121,10403.75568,10214.66973,10.3805396
BTC,9/13/2020,10436.36541,10400.85545,10484.8759,10286.42747,10.43636541
BTC,9/14/2020,10313.06858,10450.94952,10585.88066,10226.42392,10.31306858
BTC,9/15/2020,10680.29756,10337.71258,10759.1361,10281.58014,10.68029756
BTC,9/16/2020,10829.50531,10683.00291,10944.65131,10636.18826,10.82950531
BTC,9/17/2020,11033.38353,10792.31023,11103.79648,10683.79026,11.03338353
BTC,9/18/2020,10937.11126,10966.38648,11061.28463,10762.41738,10.93711126
BTC,9/19/2020,10933.93116,10947.23137,11035.0532,10830.85247,10.93393116
BTC,9/20/2020,11048.87928,10940.13447,11180.39531,10904.19962,11.04887928
BTC,9/21/2020,10852.91014,11085.429,11085.429,10773.33219,10.85291014
BTC,9/22/2020,10526.20289,10925.51079,10991.69454,10322.59482,10.52620289
BTC,9/23/2020,10531.16456,10423.27155,10579.30131,10371.91657,10.53116456
BTC,9/24/2020,10260.03301,10536.31722,10541.16888,10209.06313,10.26003301
BTC,9/25/2020,10672.95681,10241.16589,10712.49925,10200.88278,10.67295681
BTC,9/26/2020,10729.06961,10736.65234,10759.7111,10569.43458,10.72906961
BTC,9/27/2020,10741.47647,10692.46427,10777.57591,10657.52315,10.74147647
BTC,9/28/2020,10752.34545,10734.50124,10802.37407,10599.58841,10.75234545
BTC,9/29/2020,10863.06572,10776.30436,10948.06266,10776.30436,10.86306572
BTC,9/30/2020,10764.28437,10691.97856,10793.60349,10640.69415,10.76428437
BTC,10/1/2020,10741.57955,10843.38826,10849.73073,10672.79503,10.74157955
BTC,10/2/2020,10626.60096,10778.89849,10931.6335,10470.69372,10.62660096
BTC,10/3/2020,10567.3302,10624.91072,10670.71056,10386.91138,10.5673302
BTC,10/4/2020,10555.02868,10578.91957,10609.23748,10512.33934,10.55502868
BTC,10/5/2020,10660.61118,10559.31466,10702.51138,10535.82272,10.66061118
BTC,10/6/2020,10756.40458,10672.16544,10770.46301,10630.95649,10.75640458
BTC,10/7/2020,10589.62639,10793.15206,10798.98132,10543.48911,10.58962639
BTC,10/8/2020,10645.75479,10600.66078,10680.64123,10554.84167,10.64575479
BTC,10/9/2020,10897.59543,10669.07004,10949.34337,10544.3758,10.89759543
BTC,10/10/2020,11052.39508,10929.59262,11106.33446,10843.4743,11.05239508
BTC,10/11/2020,11360.85272,11059.81357,11484.16448,11058.74049,11.36085272
BTC,10/12/2020,11334.02674,11293.20701,11436.21148,11282.50356,11.33402674
BTC,10/13/2020,11666.2117,11372.10996,11723.64386,11210.86134,11.6662117
